Molecule,SMILES,Global: Rot Bonds,Csp2 Count,Fsp3 Count,Osp2 Count,Osp3 Count,Hs Count,Csp2-Fsp3,Global: Single,Fsp3-Csp2,Osp2=Csp2,Global: Double,Hs-Osp3,Osp2=Osp2,Osp3-Hs,Csp3 Count,Csp3-Hs,Fsp3-Csp3,Csp3-Fsp3,Csp3-Csp3,Csp2=Osp2,Csp2-Osp2,Csp2-Hs,Hs-Osp2,Osp2=Csp2-Osp2-Hs Torsional Axes,Hs-Csp2-Osp2-Hs Torsional Axes,Global: Torsional Axes,Osp2-Hs,Osp2-Csp2,Fsp3-Csp2-Osp2-Hs Torsional Axes,Csp3-Csp2,Csp2=Csp2,Fsp3-Csp3-Csp2-Fsp3 Torsional Axes,Fsp3-Csp3-Csp2=Csp2 Torsional Axes,Csp Count,Csp=Osp2,Fsp3-Csp3-Csp3-Fsp3 Torsional Axes,Hs-Csp3-Csp3-Fsp3 Torsional Axes,Fsp3-Hs,Fsp3-Csp3-Csp2=Osp2 Torsional Axes,Fsp3-Csp3-Csp2-Osp2 Torsional Axes,Csp3-Csp2-Osp2-Hs Torsional Axes,Osp2=Csp2-Csp3-Fsp3 Torsional Axes,Fsp3-Csp2-Csp3-Fsp3 Torsional Axes,Csp2-Csp3,Osp2-Csp2-Osp2-Hs Torsional Axes,Csp3-Osp3,Csp2=Csp2-Csp3-Fsp3 Torsional Axes,Osp3-Osp3,Osp3-Csp3-Csp3-Fsp3 Torsional Axes,Csp3-Csp3-Csp3-Fsp3 Torsional Axes,Fsp3-Csp3-Osp3-Hs Torsional Axes,Csp3-Osp2,Osp3-Csp3,Fsp3-Csp3-Csp3-Csp3 Torsional Axes,Hs-Csp3,Fsp3-Csp3-Csp3-Hs Torsional Axes,Csp=Csp2,a0,a1,a2,a3,a4,H_f_0K,S_300K 
cho2h,O=CO,0,1,0,2,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6706,0.02813,-1.58e-05,4.02e-09,-3.26e-13,-88.67,59.346
chfo2,O=C(O)F,0,1,1,2,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7681,0.043835,-3.97e-05,1.74e-08,-2.95e-12,0.0,63.927
21_propene,C=C(F)C(F)(F)F,0,2,4,0,0,2,1,7,0,0,1,0,0,0,1,0,0,3,0,0,0,2,0,0,0,6,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3416,0.09432,-8.6552e-05,3.8156e-08,-6.4503e-12,0.0,80.045
1H_ethane,FC(F)C(F)(F)F,0,0,5,0,0,1,0,7,0,0,0,0,0,0,2,1,0,5,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1218,0.080399,-7.2144e-05,3.0713e-08,-5.0126e-12,0.0,79.742
cfo2h,O=C(O)F,0,1,1,2,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.562,0.043465,-3.85e-05,1.66e-08,-2.75e-12,-147.28,63.717
tfa,O=C(O)C(F)(F)F,0,1,3,2,0,1,0,6,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,8,1,1,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9462,0.08361,-7.93e-05,3.56e-08,-6.09e-12,-250.52,80.676
c2f4o,O=C(F)C(F)(F)F,0,1,4,1,0,0,1,5,0,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.197,0.073191,-7.0516e-05,3.1674e-08,-5.393e-12,-246.94,79.899
cf3ccf2,FC(F)=[C]C(F)(F)F,0,2,5,0,0,0,1,6,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.973,0.071301,-6.68e-05,2.93e-08,-4.92e-12,-160.82,90.468
cooh2,O=C(O)O,0,1,0,3,0,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.5339,0.053254,-4.67e-05,2.02e-08,-3.39e-12,-145.57,64.209
propene,FC(F)=C(F)C(F)(F)F,0,2,6,0,0,0,2,7,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,6.3689,0.09903,-9.65e-05,4.37e-08,-7.48e-12,-264.42,89.765305
