Molecule,SMILES,Global: Rot Bonds,Csp2 Count,Fsp3 Count,Osp2 Count,Osp3 Count,Hs Count,Csp2-Fsp3,Global: Single,Fsp3-Csp2,Osp2=Csp2,Global: Double,Hs-Osp3,Osp2=Osp2,Osp3-Hs,Csp3 Count,Csp3-Hs,Fsp3-Csp3,Csp3-Fsp3,Csp3-Csp3,Csp2=Osp2,Csp2-Osp2,Csp2-Hs,Hs-Osp2,H-Osp2-Csp2-O Torsional Axes,H-Csp2-Osp2-H Torsional Axes,Global: Torsional Axes,Osp2-Hs,Osp2-Csp2,F-Csp2-Osp2-H Torsional Axes,Csp3-Csp2,Csp2=Csp2,F-Csp2-Csp3-F Torsional Axes,C-Csp2-Csp3-F Torsional Axes,Csp Count,Csp=Osp2,F-Csp3-Csp3-F Torsional Axes,F-Csp3-Csp3-H Torsional Axes,Fsp3-Hs,F-Csp3-Csp2-O Torsional Axes,C-Csp2-Osp2-H Torsional Axes,Csp2-Csp3,Csp3-Osp3,Osp3-Osp3,F-Csp3-Csp3-O Torsional Axes,C-Csp3-Csp3-F Torsional Axes,F-Csp3-Osp3-H Torsional Axes,Csp3-Osp2,Osp3-Csp3,Hs-Csp3,Csp=Csp2,a0,a1,a2,a3,a4,H_f_0K,S_300K 
cf2o_h2o,O.O=C(F)F,0,1,2,1,1,2,1,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.759,0.038391,-3.25e-05,1.41e-08,-2.39e-12,-205.55,84.355874
o2,O=O,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4985,0.0010753,2.07e-06,-1.91e-09,4.44e-13,0.0,48.998
cf2o_2h2oreact,O.O.O=C(F)F,0,1,2,1,2,4,1,6,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.608,0.066137,-6.25e-05,2.99e-08,-5.47e-12,-275.55,97.532
cf3h,FC(F)F,0,0,3,0,0,1,0,4,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8492,0.04023,-3.15e-05,1.18e-08,-1.71e-12,-164.85,62.105
h2o,O,0,0,0,0,1,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7961,-0.0003717,3.9e-06,-1.99e-09,3.16e-13,-57.1,46.425211
cpropane,FC1(F)C(F)(F)C1(F)F,0,0,6,0,0,0,0,9,0,0,0,0,0,0,3,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2633,0.099252,-9.6e-05,4.3e-08,-7.29e-12,-234.7,87.044
cfo,O=[C]F,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2029,0.012742,-9.09e-06,3.07e-09,-3.97e-13,-42.21,59.494
cho2h,O=CO,0,1,0,2,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6706,0.02813,-1.58e-05,4.02e-09,-3.26e-13,-88.67,59.346
chfo2,O=C(O)F,0,1,1,2,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7681,0.043835,-3.97e-05,1.74e-08,-2.95e-12,0.0,63.927
o,[O],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9682,0.0,0.0,0.0,0.0,58.997,36.469
cf2_2h2o,F[C]F.O.O,0,0,2,0,2,4,0,6,0,0,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.729,0.054232,-5.16e-05,2.5e-08,-4.63e-12,-167.11,97.532
21_propene,C=C(F)C(F)(F)F,0,2,4,0,0,2,1,7,0,0,1,0,0,0,1,0,0,3,0,0,0,2,0,0,0,6,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3416,0.09432,-8.6552e-05,3.8156e-08,-6.4503e-12,0.0,80.045
co2,O=C=O,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7791,0.016904,-1.32e-05,5.17e-09,-8.06e-13,0.0,52.42
cfo2,[O]C(=O)F,0,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.743,0.036252,-3.44e-05,1.52e-08,-2.53e-12,-80.0,64.74
1H_ethane,FC(F)C(F)(F)F,0,0,5,0,0,1,0,7,0,0,0,0,0,0,2,1,0,5,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1218,0.080399,-7.2144e-05,3.0713e-08,-5.0126e-12,0.0,79.742
cfo2h,O=C(O)F,0,1,1,2,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.562,0.043465,-3.85e-05,1.66e-08,-2.75e-12,-147.28,63.717
hf,F,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0265,-0.00037026,2.86e-07,3.51e-10,-1.43e-13,-65.18,41.525
tfa,O=C(O)C(F)(F)F,0,1,3,2,0,1,0,6,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,8,1,1,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,3.9462,0.08361,-7.93e-05,3.56e-08,-6.09e-12,-250.52,80.676
cf2,F[C]F,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.717,0.02003,-1.84e-05,7.84e-09,-1.27e-12,-46.34,57.490866
c2f4,FC(F)=C(F)F,0,2,4,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9648,0.061892,-6.2e-05,2.9e-08,-5.13e-12,-160.29,73.976691
