,subclass_acr,subclass_name,repr_mol,mech,t99,SMILES,pdbs
0,PFCA,Perfluoroalkyl carboxylic acids,PFOA,alpha_elim,700,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3_2_FTCA.pdb
1,PFECA,Perfluoroalkyl ether carboxylic acids,HFPO-DA,alpha_elim,480,O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,PFBOH.pdb
2,FTCA,Fluorotelomer carboxylic acids,3:2 FTCA,beta_elim,690,O=C(O)CC(F)(F)C(F)(F)C(F)(F)F,2_2_FTOH.pdb
3,PFAL,Perfluoroalkyl aldehydes,Acyl fluorides (e.g. PFHpCOF),homo_cleavage,880,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFOA.pdb
4,FASA,Perfluoroalkane sulfonamides ,FBSA,homo_cleavage,590,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,N-MeFBSAA.pdb
5,FTSm,Fluorotelomer sulfonamides,2:2 FTSA,beta_elim,650,NS(=O)(=O)CCC(F)(F)C(F)(F)F,PFHpCOF.pdb
6,PFOH,Perfluoroalcohols,PFBOH,alpha_elim,470,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FBSA.pdb
7,FTOH,Fluorotelomer alcohols ,2:2 FTOH,beta_elim,770,OCCC(F)(F)C(F)(F)F,2_2_FTS.pdb
8,FTS,Fluorotelomer sulfonic acid,2:2 FTS,beta_elim,710,O=S(=O)(O)CCC(F)(F)C(F)(F)F,PFOS.pdb
9,PFSA,Perfluoroalkane sulfonic acid,PFOS,homo_cleavage,610,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HFPO-DA.pdb
10,MeFASAA,N-methyl perfluoroalkane sulfonamido acetic acid,N-MeFBSAA,homo_cleavage,590,CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2_2_FTSA.pdb
