,file,prod,a0,a1,a2,a3,a4,H_0K,S_300K
0,step1_c_c_prod1a,,8.0782,0.49577,-0.00039707,1.57e-07,-2.45e-11,21.743849,220.7
1,step1_c_c_prod1b,CO2,4.7772,0.016902,-1.32e-05,5.17e-09,-8.05e-13,2.242093,51.042
2,step1_c_c_prod2,,6.7027,0.4996,-0.00040095,1.59e-07,-2.49e-11,21.46649,216.39
3,step1_c_c_prod3,,6.4382,0.49324,-0.00038907,1.52e-07,-2.33e-11,21.205445,212.92
4,step1_c_h_prod1,,8.9269,0.52526,-0.00042688,1.71e-07,-2.68e-11,11.400602,131.7
5,step1_c_H_prod2,H,4.9682,0.0,0.0,0.0,0.0,0.993348,27.422
6,step1_C_N_PROD1,,10.243,0.45983,-0.00036339,1.42e-07,-2.17e-11,20.956951,214.28
7,step1_C_N_PROD2,C2_lactone,1.5965,0.047198,-3.46e-05,1.26e-08,-1.8e-12,1.679844,63.019
8,step1_C_S_PROD1,,12.236,0.27931,-0.00026211,1.16e-07,-1.97e-11,13.6565,153.74
9,step1_C_S_PROD2,,0.23819,0.23491,-0.00015113,4.78e-08,-5.91e-12,5.098519,125.49
10,step1_GS,,76.798,0.57052,-0.00024773,7.23e-08,-9.4e-12,11.439507,227.74
11,step1_H_OH_GS1,,-1.1178,0.28567,-0.00017687,5.34e-08,-6.24e-12,11.840486,135.51
12,step1_H_OH_GS2,OH,7.075,-0.00071119,9.5e-07,-2.55e-11,-7.49e-14,1.39119,42.602
13,step1_H_OH_PROD1,,2.3544,0.27919,-0.00018019,5.79e-08,-7.39e-12,12.196284,138.81
14,step1_H_OH_PROD2,H2O,7.9811,-0.0011763,5.06e-06,-2.66e-09,4.54e-13,1.59011,45.099
15,step2_GS,,5.5742,0.49695,-0.00039438,1.55e-07,-2.39e-11,1.59011,210.66
16,step2_C_N_PROD1,,12.993,0.32968,-0.00030843,1.36e-07,-2.3e-11,21.090611,172.09
17,step2_C_N_PROD2,,-3.4831,0.15487,-7.73e-05,1.59e-08,-6.79e-13,15.808859,86.416
18,step2_C_S_PROD1,,12.236,0.27931,-0.00026211,1.16e-07,-1.97e-11,5.979543,153.74
19,step2_C_S_PROD2,,-1.7271,0.20325,-0.0001238,3.67e-08,-4.21e-12,13.6565,108.15
20,step2_H_OH_GS2,OH,7.075,-0.00071119,9.5e-07,-2.55e-11,-7.49e-14,8.232304,42.602
21,step2_H_OH_PROD1,,6.3332,0.49822,-0.00040654,1.64e-07,-2.59e-11,1.39119,213.23
22,step2_H_OH_PROD2,H2O,7.9811,-0.0011763,5.06e-06,-2.66e-09,4.54e-13,21.137047,45.099
23,step2_S_N_PROD1,,13.067,0.31455,-0.00029265,1.29e-07,-2.16e-11,15.317519,170.01
24,step2_S_N_PROD2,,-2.1693,0.16278,-8.23e-05,1.7e-08,-6.96e-13,6.660391,94.196
25,step3a_GS,,6.3332,0.49822,-0.00040654,1.64e-07,-2.59e-11,3.037776,213.23
26,step3a_PROD1,,10.205,0.27676,-0.00026223,1.17e-07,-1.99e-11,15.808859,147.45
27,step3a_PROD2,,-1.7885,0.20353,-0.00012418,3.69e-08,-4.25e-12,13.6565,108.36
28,step3_GS,,12.993,0.32968,-0.00030843,1.36e-07,-2.3e-11,8.228539,172.09
29,step3_PROD1,,12.236,0.27931,-0.00026211,1.16e-07,-1.97e-11,21.137047,153.74
30,step3_PROD2,,5.5439,0.035784,-3.71e-05,1.76e-08,-3.1e-12,13.020832,67.225
