Molecule,SMILES,Global: Rot Bonds,Csp2 Count,Fsp3 Count,Osp2 Count,Osp3 Count,Hs Count,Global: bo 1.0,bo 1.0 Csp2-Fsp3,bo 1.0 Hs-Osp3,Global: bo 2.0,bo 2.0 Csp2-Osp2,Csp3 Count,bo 1.0 Csp3-Fsp3,bo 1.0 Csp2-Csp2,bo 1.0 Csp3-Csp3,bo 1.0 Csp2-Hs,bo 2.0 Csp2-Csp2,Csp2-Csp2-Csp3-Fsp3 Torsional Axes,Fsp3-Csp3-Csp2-Hs Torsional Axes,Csp2-Csp2-Csp3-Csp3 Torsional Axes,Csp3-Csp3-Csp2-Hs Torsional Axes,Csp3-Csp3-Csp3-Fsp3 Torsional Axes,Fsp3-Csp3-Csp3-Fsp3 Torsional Axes,Csp2-Csp3-Csp3-Csp3 Torsional Axes,Csp2-Csp3-Csp3-Fsp3 Torsional Axes,Csp3-Csp3-Csp3-Csp3 Torsional Axes,Global: Torsional Axes,bo 2.0 Osp2-Osp2,bo 1.0 Csp2-Osp2,bo 1.0 Hs-Osp2,Csp3-Csp3-Csp2-Osp2 Torsional Axes,Fsp3-Csp3-Csp2-Osp2 Torsional Axes,Csp3-Csp2-Osp2-Hs Torsional Axes,Hs-Osp2-Csp2-Osp2 Torsional Axes,bo 1.0 Csp3-Osp3,Csp3-Csp3-Csp3-Osp3 Torsional Axes,Fsp3-Csp3-Csp3-Osp3 Torsional Axes,Csp3-Csp3-Osp3-Csp3 Torsional Axes,Csp3-Osp3-Csp3-Fsp3 Torsional Axes,Csp2-Csp3-Osp3-Csp3 Torsional Axes,Osp2-Csp2-Csp3-Osp3 Torsional Axes,bo 1.0 Csp3-Hs,Fsp3-Csp3-Csp3-Hs Torsional Axes,Csp3-Csp3-Csp3-Hs Torsional Axes,Csp2-Csp3-Csp3-Hs Torsional Axes,Hs-Csp3-Csp3-Hs Torsional Axes,Hs-Csp3-Csp2-Osp2 Torsional Axes,Csp3-Csp3-Csp2-Fsp3 Torsional Axes,Fsp3-Csp2-Csp3-Fsp3 Torsional Axes,Hs-Csp2-Osp2-Hs Torsional Axes,bo 1.0 Csp3-Osp2,Csp3-Csp3-Csp3-Osp2 Torsional Axes,Fsp3-Csp3-Csp3-Osp2 Torsional Axes,Csp3-Osp2-Csp2-Osp2 Torsional Axes,Csp2-Osp2-Csp3-Csp3 Torsional Axes,Csp2-Osp2-Csp3-Fsp3 Torsional Axes,Csp3-Csp3-Osp3-Hs Torsional Axes,Fsp3-Csp3-Osp3-Hs Torsional Axes,Fsp3-Csp2-Osp2-Hs Torsional Axes,Hs-Csp3-Csp3-Osp3 Torsional Axes,Hs-Csp3-Osp3-Hs Torsional Axes,Csp Count,bo 2.0 Csp-Osp2,bo 1.0 Osp3-Osp3,Csp3-Csp3-Osp3-Osp3 Torsional Axes,Fsp3-Csp3-Osp3-Osp3 Torsional Axes,bo 1.0 Fsp3-Hs,Csp3-Csp2-Osp2-Csp3 Torsional Axes,Csp3-Osp3-Csp3-Osp2 Torsional Axes,Hs-Osp3-Csp3-Osp3 Torsional Axes,Osp3-Csp3-Csp3-Osp3 Torsional Axes,Csp3-Osp3-Csp3-Osp3 Torsional Axes,Fsp3-Csp2-Csp3-Osp3 Torsional Axes,Csp3-Osp3-Csp3-Hs Torsional Axes,a0,a1,a2,a3,a4,H_f_0K,S_300K 
52_heptene,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,2,11,0,0,3,19,0,0,1,0,5,11,1,4,3,1,2,2,1,1,13,18,1,2,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7437,0.23752,-0.00022295,9.8925e-08,-1.6728e-11,0.0,134.24
1_octane,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,1,15,2,0,1,24,0,0,1,1,7,15,0,7,0,0,0,0,0,0,21,26,1,2,4,62,0,1,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.415,0.31312,-0.00030747,1.4e-07,2.41e-11,-824.72,165.64
frd_903,O=C(O)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,4,1,11,2,1,1,19,0,0,1,1,5,11,1,3,0,0,0,0,0,0,5,13,0,3,0,41,0,1,1,2,2,1,1,2,1,5,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.06,0.25241,-0.00024666,1.12e-07,-1.92e-11,0.0,143.52
23_ftca,O=C(O)CCC(F)(F)C(F)(F)F,3,1,5,2,0,5,15,0,0,1,1,4,5,1,3,0,0,0,0,0,0,5,6,1,0,1,35,0,1,1,2,0,1,1,0,0,0,0,0,0,0,4,4,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8371,0.16677,-0.00013893,5.6652e-08,-9.0007e-12,0.0,110.95
42rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,0,9,0,0,5,19,0,0,0,0,6,9,0,5,0,0,0,0,0,0,13,14,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3155,0.20246,-0.0001746,7.3015e-08,-1.1831e-11,0.0,121.66
pfocof,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,1,14,1,0,0,20,1,0,1,1,6,13,0,6,0,0,0,0,0,0,17,22,1,2,3,51,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.079,0.26393,-0.00026002,1.1838e-07,-2.0328e-11,0.0,151.88
butane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,10,0,0,0,13,0,0,0,0,4,10,0,3,0,0,0,0,0,0,10,16,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0151,0.16889,-0.00016744,7.65e-08,-1.32e-11,-516.57,112.543919
cho2h,O=CO,0,1,0,2,0,2,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6706,0.02813,-1.58e-05,4.02e-09,-3.26e-13,-88.67,59.346
1_propane,O=C(O)OC(F)(F)C(F)(F)C(F)(F)F,2,1,7,3,0,1,13,0,0,1,1,3,7,0,2,0,0,0,0,0,0,5,10,0,0,0,25,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.734,0.12156,-0.00011689,5.28e-08,-9.03e-12,-331.96,96.214
pfhpoh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,0,15,0,1,1,23,0,1,0,0,7,15,0,6,0,0,0,0,0,0,21,26,0,0,4,57,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.374,0.29174,-0.00028895,1.3238e-07,-2.2849e-11,0.0,155.32
